"Dirección","Tipo de contenido","Código de respuesta","Respuesta","Indexabilidad","Estado de indexabilidad"
"https://es.hgaruna.org/","text/html; charset=UTF-8","200","OK","No indexable","Canonicalizada"
"https://es.hgaruna.org/assets\js\paginacion.js","text/html; charset=utf-8","404","Not Found","No indexable","Error de cliente"
"https://es.hgaruna.org/politica_privacidad","text/html; charset=UTF-8","200","OK","Indexable",""
"https://es.hgaruna.org/autos","text/html; charset=UTF-8","200","OK","No indexable","Canonicalizada"
"https://es.hgaruna.org/cultura","text/html; charset=UTF-8","200","OK","No indexable","Canonicalizada"
"https://es.hgaruna.org/deportes","text/html; charset=UTF-8","200","OK","No indexable","Canonicalizada"
"https://es.hgaruna.org/assets/img/ejemplo.jpg","text/html; charset=utf-8","404","Not Found","No indexable","Error de cliente"
"https://es.hgaruna.org/index.html","text/html; charset=UTF-8","200","OK","Indexable",""
"https://es.hgaruna.org/cine.html","text/html; charset=utf-8","404","Not Found","No indexable","Error de cliente"
"https://es.hgaruna.org/ultimo","text/html; charset=UTF-8","200","OK","No indexable","Canonicalizada"
"https://es.hgaruna.org/tecnologia","text/html; charset=UTF-8","200","OK","No indexable","Canonicalizada"
"https://es.hgaruna.org/deportes.html","text/html; charset=UTF-8","200","OK","Indexable",""
"https://es.hgaruna.org/assets/js/buenaVida.js","text/html; charset=utf-8","404","Not Found","No indexable","Error de cliente"
"https://es.hgaruna.org/ultimo.html","text/html; charset=UTF-8","200","OK","Indexable",""
"https://es.hgaruna.org/tecnologia.html","text/html; charset=UTF-8","200","OK","Indexable",""
"https://es.hgaruna.org/cultura.html","text/html; charset=UTF-8","200","OK","Indexable",""
"https://es.hgaruna.org/autos.html","text/html; charset=UTF-8","200","OK","Indexable",""
